,tweet,language,likes,retweets,datetime,Subjectivity,Polarity,Analysis
0,"RT @Curious_Indian_: 💎5 Stocks For New Year Profit💎
⚡ HDFC BANK (₹1547)
⚡ SAIL (₹114)
⚡ ICICI BANK (₹764)
⚡ Redington (₹149)
⚡ Axis Bank (₹…",en,0,0,2021-11-16 20:02:34+00:00,0.45454545454545453,0.13636363636363635,Positive
1,@DC_Faridabad  Dear sir ji we have got fraud of rs 74627/- by pnb person via telephone my bank account no 093621510… https://t.co/XKh4BXR26N,en,0,0,2021-11-16 19:37:38+00:00,0.0,0.0,Neutral
2,@Cybercellindia  Dear sir ji we have got fraud of rs 74627/- by pnb person via telephone my bank account no 0936215… https://t.co/x4WHo9F2iv,en,0,0,2021-11-16 19:36:33+00:00,0.0,0.0,Neutral
3,@ICICIBank_Care @amazonIN how does one apply for Amazon pay ICICI Bank Credit Card? I tried with the link and it ju… https://t.co/taPqMs5m2m,en,0,0,2021-11-16 19:17:43+00:00,0.0,0.0,Neutral
4,"Now you can send your offerings via paytm and ICICI Bank, these are acceptable through all gateways so you can send… https://t.co/BPe5HIvIWY",en,0,0,2021-11-16 19:08:05+00:00,0.0,0.0,Neutral
5,"YOU CAN SEND OFFERING THROUGH YES BANK AND ICICI BANK
PLEASE CONTACT THE NUMBER GIVEN BELOW FOR SENDING YOUR OFFERI… https://t.co/binos3aTsu",en,0,0,2021-11-16 19:07:37+00:00,0.0,0.0,Neutral
6,RT @SamsungIndia: Alia Bhatt has just unfolded brand new colours for the revolutionary foldables - #GalaxyZFold3 5G in Phantom Silver and #…,en,0,0,2021-11-16 19:06:06+00:00,0.45454545454545453,0.13636363636363635,Positive
7,"RT @Mitesh_Engr: Most traders understanding that hedge means buy far OTM option. Damage will be done in this case.
How to hedge?
Ex. I boug…",en,0,0,2021-11-16 19:03:49+00:00,0.75,0.3,Positive
8,@POOJARINEETA @ICICIBank_Care @ICICIBank_Care    Received a call on Saturday I.e. 13th nov from icici bank.  Normal… https://t.co/vKsttltvb2,en,0,0,2021-11-16 19:00:15+00:00,0.0,0.0,Neutral
9,"iQOO Z3 5G at ₹16,490

https://t.co/oqc6uBtAki

Apply ₹2000 off Coupon + ₹1,500 OFF on ICICI Bank Credit Cards

 Fo… https://t.co/PAaJog1yu4",en,0,0,2021-11-16 18:55:28+00:00,0.0,0.0,Neutral
10,@pnbindia  Dear PM ji we have got fraud of rs 74627/- by pnb person via telephone my bank account no 09362151010897… https://t.co/xgDg3v8LiM,en,0,0,2021-11-16 18:55:11+00:00,0.0,0.0,Neutral
11,"PortFolio Update :
1.ICICI Bank(Banking)
2. PI Industries(Agro- CRAMS)
3.Persistent Systems(IT)
4.Eris Life Science… https://t.co/C6HEaVcnf3",en,1,0,2021-11-16 18:50:48+00:00,0.0,0.0,Neutral
12,@cmohry  Dear PM ji we have got fraud of rs 74627/- by pnb person via telephone my bank account no 09362151010897 n… https://t.co/jVxRyNgLc6,en,0,0,2021-11-16 18:47:20+00:00,0.0,0.0,Neutral
