,tweet,language,likes,retweets,datetime,Subjectivity,Polarity,Analysis
0,@PankajBansalM3M This is the project quality you deliver…its been 5-6 months i have been facing this issue snd no p… https://t.co/OnaedzFOMQ,en,0,0,2021-11-16 19:29:01+00:00,0.0,0.0,Neutral
3,"RT @M3MIndiaPvtLtd: (1/2) In a recent article by @EconomicTimes, 𝐌𝐫. 𝐏𝐚𝐧𝐤𝐚𝐣 𝐁𝐚𝐧𝐬𝐚𝐥, Director, M3M India mentions that the company has repai…",en,0,0,2021-11-16 17:53:06+00:00,0.625,-0.375,Negative
8,It is indeed a great pleasure to hear Mr. Deepak Sehgal appreciate his investment property at M3M 65th Avenue while… https://t.co/Cyxwk5gTeJ,en,0,0,2021-11-16 15:37:13+00:00,0.75,0.8,Positive
9,"RT @thephilacitizen: Panelists include Matt Pestronk, CEO of @postbrothers; 
@ABCrawley_M3MPR, president of @M3M_PR; Charles Lomax, co-foun…",en,0,0,2021-11-16 15:18:38+00:00,0.0,0.0,Neutral
13,"Watch: https://t.co/CEkBQ71aI9 M3M Grand Fiesta in M3M 65th Avenue and M3M Broadway 2021

Book Now:… https://t.co/qY6aiioGQx",en,0,0,2021-11-16 13:47:15+00:00,1.0,0.5,Positive
14,"Medical [North York]
North York ON M3M
Dispatched: 16/11/21 @ 08:36 EST
[Stn: 146] Pumper-145
General Area:",en,0,0,2021-11-16 13:42:08+00:00,0.25,0.02500000000000001,Positive
15,"Medical [North York]
North York ON M3M
Dispatched: 16/11/21 @ 08:36 EST
[Stn: 146] Pumper-145
General Area:",en,0,0,2021-11-16 13:42:07+00:00,0.25,0.02500000000000001,Positive
17,M3M is not honoring its Lease commitments after sales. After Sale  attitude is Not Professional https://t.co/ha58KDjqYg,en,0,0,2021-11-16 13:24:58+00:00,0.1,-0.05,Negative
20,M3M India Brings forth “Soulitude - Luxury Boutique Floors” in Gurugram with a vast array of Amenities.. Live and C… https://t.co/kAdkC0nIVo,en,0,0,2021-11-16 13:02:32+00:00,0.75,0.06818181818181818,Positive
21,"Enjoyed being out on site with @M3Mining $M3M &amp;  team from Strike Drilling for maiden drill program, proximal to th… https://t.co/FwB8W9J5Ag",en,0,0,2021-11-16 12:47:54+00:00,0.7,0.5,Positive
22,(2/2) and is aiming to reduce the debt by nearly ₹500 crore by the end of FY 2022 with the company’s aggressive gro… https://t.co/5FFEoKoegG,en,0,0,2021-11-16 12:34:46+00:00,0.4,0.1,Positive
23,"(1/2) In a recent article by @EconomicTimes, 𝐌𝐫. 𝐏𝐚𝐧𝐤𝐚𝐣 𝐁𝐚𝐧𝐬𝐚𝐥, Director, M3M India mentions that the company has r… https://t.co/oTZh34F9sP",en,2,1,2021-11-16 12:34:45+00:00,0.25,0.0,Neutral
24,"M3M Atrium Sector 57 Gurgaon Offer Premium Commercial Project in Sector 57 Gurgaon 
Visit : https://t.co/68k6Ud5UT9… https://t.co/8s4jGnw0wR",en,0,0,2021-11-16 12:00:24+00:00,0.0,0.0,Neutral
28,"M3M Atrium Sector 57, Gurugram | The Future of Retail An Innovation For ... 
https://t.co/nk5iVZS5GE via @YouTube… https://t.co/hrjDQ75hkc",en,0,0,2021-11-16 10:41:55+00:00,0.125,0.0,Neutral
30,"Grade A office spaces mins away from Golf Course Road
- 5 Yr Lease Guarantee
- Ready to move in
- 100% Power backup… https://t.co/7ocAhWjYwI",en,0,0,2021-11-16 10:27:35+00:00,0.5,0.2,Positive
31,"M3M new projects launching soon in sector 57. Gurgaon
For more detail connect with us 

Sanjay sharma
9999964462… https://t.co/fofofqFrel",en,0,0,2021-11-16 09:21:55+00:00,0.4772727272727273,0.3181818181818182,Positive
36,M3M SCO 43 | Shop Cum Office Commercial Space At Sector 43 Gurgaon https://t.co/h7ZrSGrN9P via @YouTube,en,0,0,2021-11-16 09:01:38+00:00,0.0,0.0,Neutral
37,I just uploaded “m3m sco 43.mp4” to #Vimeo: https://t.co/JWEHp20VZd,en,0,0,2021-11-16 08:49:48+00:00,0.0,0.0,Neutral
46,M3M 65th Avenue OC Received Think Reality RealEstate M3M contact 9999755394 https://t.co/oYB1FmnPWs,en,0,0,2021-11-16 06:43:47+00:00,0.0,0.0,Neutral
49,"(2/2) It was marked an eventful day at the busiest location of Gurugram, M3M 65th Avenue and M3M Broadway where peo… https://t.co/1jjfNultkt",en,0,0,2021-11-16 06:29:29+00:00,0.6,0.1,Positive
50,"(1/2) Have a look at the glimpses of the bustling last day at, M3M Grand Fiesta, 2021. Busiest of all days, it was… https://t.co/o2xRFZX7zR",en,0,0,2021-11-16 06:29:27+00:00,0.5333333333333333,0.25,Positive
51,"Medical
North York ON M3M
Dispatched: 16/11/21 @ 01:13 EST
[Stn: 141] Pumper-141
General Area:",en,0,0,2021-11-16 06:22:03+00:00,0.25,0.02500000000000001,Positive
52,"Medical
North York ON M3M
Dispatched: 16/11/21 @ 01:13 EST
[Stn: 141] Pumper-141
General Area:",en,0,0,2021-11-16 06:22:03+00:00,0.25,0.02500000000000001,Positive
54,"Who could say no to such an absolutely gorgeous property?
M3M Sierra68 has evolved from the vision of creating a pr… https://t.co/2RJ0t2L2M4",en,1,0,2021-11-16 05:53:19+00:00,0.7,0.35,Positive
55,"@evanvassos Not just these 2 companies , $m3m has Eddie king on as well. 👍",en,1,0,2021-11-16 05:49:13+00:00,0.0,0.0,Neutral
56,"""M3M Atrium 57 is a new launch commercial development by M3M India. The project offers high street retail shops at… https://t.co/Da38i2yMIf",en,0,0,2021-11-16 05:47:38+00:00,0.2486363636363636,0.09909090909090909,Positive
57,RT @mutualaydndn: pls F0LL0W M3m if u dont already!!!! SH@RE their acc w othrs !!!⬇️⬇️🚨‼️‼️,en,0,0,2021-11-16 05:34:57+00:00,0.0,0.0,Neutral
58,RT @mutualaydndn: pls F0LL0W M3m if u dont already!!!! SH@RE their acc w othrs !!!⬇️⬇️🚨‼️‼️,en,0,0,2021-11-16 05:24:50+00:00,0.0,0.0,Neutral
