,tweet,language,likes,retweets,datetime,Subjectivity,Polarity,Analysis
0,"@Aparajita_2018 Hi Aparajita, we have responded to your concern via DM. Regret the inconvenience caused. Regards, Team Axis Bank",en,0,0,2021-11-16 20:29:25+00:00,0.0,0.0,Neutral
1,"@RakeshPandit2 Hi Rakesh, we have responded to the concern raised by you via DM. Regret any inconvenience caused. Regards, Team Axis Bank",en,0,0,2021-11-16 20:25:11+00:00,0.0,0.0,Neutral
2,"@helpinghand9172 Hi, we have responded to your concern via DM. We regret the inconvenience caused. Regards, Team Axis Bank",en,0,0,2021-11-16 20:06:04+00:00,0.0,0.0,Neutral
3,"RT @Curious_Indian_: 💎5 Stocks For New Year Profit💎
⚡ HDFC BANK (₹1547)
⚡ SAIL (₹114)
⚡ ICICI BANK (₹764)
⚡ Redington (₹149)
⚡ Axis Bank (₹…",en,0,0,2021-11-16 20:02:34+00:00,0.45454545454545453,0.13636363636363635,Positive
4,"@Princemsr Hi, we have responded to the concern raised by you via DM. Regret any inconvenience caused. Regards, Team Axis Bank",en,0,0,2021-11-16 19:56:26+00:00,0.0,0.0,Neutral
5,"@MaverickRahul2 Hi, we request you to share your registered contact details via DM to assist you further. Regards,… https://t.co/IMt6IBQSrY",en,0,0,2021-11-16 19:45:43+00:00,0.5,0.0,Neutral
6,"@vyom31 Hi, we have responded to you via DM. Regards, Team Axis Bank.",en,0,0,2021-11-16 19:43:28+00:00,0.0,0.0,Neutral
7,"@NainNyari Hi, we have responded to you via DM. Regards, Team Axis Bank.",en,0,0,2021-11-16 19:41:27+00:00,0.0,0.0,Neutral
8,Cayman Islands #OffshoreTaxEvasion Files #CAYMANISLANDS GOVERNOR #MARTYNROPER #CAYMAN ISLANDS GOVERNMENT CONSULTANT… https://t.co/xC8lDT0aq3,en,1,0,2021-11-16 19:39:25+00:00,0.0,0.0,Neutral
9,"@hrsvnr Hi Harsh, we have responded to the concern raised by you via DM. Regret any inconvenience caused. Regards, Team Axis Bank",en,0,0,2021-11-16 19:37:07+00:00,0.7,-0.2,Negative
10,"@Radhe_giri Hi, we request you to follow us back so that we can address your concern via DM. Regards, Team Axis Bank https://t.co/S8xhHTFnrZ",en,0,0,2021-11-16 19:37:04+00:00,0.0,0.0,Neutral
11,#CaymanIslands #MoneyLaundering Fraud Files CAYMAN ISLANDS GOVERNOR #MARTYNROPER - CAYMAN ISLANDS GOVERNMENT CONSUL… https://t.co/RE0njeatoZ,en,1,0,2021-11-16 19:36:10+00:00,0.0,0.0,Neutral
12,"@ooosiddhartha Hi Siddhartha, we have responded to the concern raised by you via DM. Regret any inconvenience cause… https://t.co/4JYpW1PyPR",en,0,0,2021-11-16 19:31:52+00:00,0.0,0.0,Neutral
13,"@himanshu_eco Hi, we've addressed your concern and sent you a response via DM. Regards, Team Axis Bank.",en,0,0,2021-11-16 19:31:15+00:00,0.0,0.0,Neutral
14,"@Ricky20069804 Hi Ricky, we have responded to your concern via DM. We regret the inconvenience caused. Regards, Team Axis Bank",en,0,0,2021-11-16 19:29:42+00:00,0.0,0.0,Neutral
15,"@himanshu_eco Hi, we have made note of your message and get back to you shortly.  Regards, Team Axis Bank.",en,0,0,2021-11-16 19:25:48+00:00,0.15,0.0,Neutral
