,tweet,language,likes,retweets,datetime,Subjectivity,Polarity,Analysis
5,"RT @Tijori1: Tata Steel has beaten HUL in price appreciation over the last 20 years

20 year absolute growth

Tata Steel +1686%
HUL   +1352%",en,0,0,2021-11-16 20:07:12+00:00,0.48333333333333334,0.1,Positive
6,@Sierra__Alpha @Formula2 @gyzhou_33 I mean I never thought that GIO was that good. HUL ain't too good. Ilot would b… https://t.co/dNM0EY7Iqy,en,0,0,2021-11-16 20:04:54+00:00,0.6291666666666668,0.3625,Positive
7,"@TopiParkkonen @Formula2 @gyzhou_33 Yeah I mean MAZ, TSU, ZHO, ALB and LAT shouldn't be there imo. 

It should real… https://t.co/76IZ9z8WAw",en,0,0,2021-11-16 20:03:00+00:00,0.6875,-0.3125,Negative
10,"RT @Tijori1: Tata Steel has beaten HUL in price appreciation over the last 20 years

20 year absolute growth

Tata Steel +1686%
HUL   +1352%",en,0,0,2021-11-16 19:41:03+00:00,0.48333333333333334,0.1,Positive
11,"RT @eyvette_hr: Moving forward with intention, with one heart, one mind and one spirit for the important work being done. 

Working togethe…",en,0,0,2021-11-16 19:35:28+00:00,1.0,0.4,Positive
12,@HUL_News has illegally cut 425 trees near Kodaikanal Wildlife sanctuary leading to toxic mercury from its plant fl… https://t.co/rpb6sNA01f,en,0,0,2021-11-16 19:22:34+00:00,0.45,-0.2,Negative
14,"RT @btsbaragi_jk: 👤hul(wow) is that hoseokie’s departure bag?????
🐿hmm…….🤔
*hmm more cutely https://t.co/1jy54FRIy2",en,0,0,2021-11-16 19:09:48+00:00,0.75,0.5,Positive
16,"RT @btsbaragi_jk: 👤hul(wow) is that hoseokie’s departure bag?????
🐿hmm…….🤔
*hmm more cutely https://t.co/1jy54FRIy2",en,0,0,2021-11-16 19:03:32+00:00,0.75,0.5,Positive
17,"RT @EffieAwards: .@lifebuoysoap's ""H is for Handwashing"" wins a Bronze Multi-Region Effie in the Positive Change: Social Good-Brands catego…",en,0,0,2021-11-16 18:57:13+00:00,0.2707070707070707,0.18686868686868685,Positive
19,"RT @btsbaragi_jk: 👤hul(wow) is that hoseokie’s departure bag?????
🐿hmm…….🤔
*hmm more cutely https://t.co/1jy54FRIy2",en,0,0,2021-11-16 18:44:28+00:00,0.75,0.5,Positive
20,RT @TribalArmy: Hul Johar! Sending you all warm wishes on the birth anniversary of our revolutionary leader Dharti Aaba Birsa Munda Ji. #Bi…,en,0,0,2021-11-16 18:39:56+00:00,0.6,0.6,Positive
23,".@lifebuoysoap's ""H is for Handwashing"" wins a Bronze Multi-Region Effie in the Positive Change: Social Good-Brands… https://t.co/cbncmn1v1a",en,1,1,2021-11-16 18:25:21+00:00,0.2707070707070707,0.18686868686868685,Positive
24,"RT @eyvette_hr: Moving forward with intention, with one heart, one mind and one spirit for the important work being done. 

Working togethe…",en,0,0,2021-11-16 18:24:01+00:00,1.0,0.4,Positive
