,tweet,language,likes,retweets,datetime,Subjectivity,Polarity,Analysis
0,"RT @directnews99: Stock market is off to a great start, but PowerGrid and Bajaj Auto are on the decline
https://t.co/BFthKtXhhY
#StocksToBu…",en,0,0,2021-11-16 19:31:26+00:00,0.75,0.8,Positive
1,"BAJAJ AUTO sales increased by 52%, so did Tata Motors – News18 https://t.co/FqirVxFuY6",en,0,0,2021-11-16 16:11:47+00:00,0.0,0.0,Neutral
2,@Prakashplutus Ok sir. Still waiting for your views on Bajaj Auto 🙏,en,0,0,2021-11-16 16:00:03+00:00,0.5,0.5,Positive
3,"As been saying 2 wheelers stocks can see fresh highs.

Hero moto 2900/2920+
Bajaj Auto 3800/3820+
TVS motors 810/20+",en,3,0,2021-11-16 15:52:19+00:00,0.5,0.3,Positive
4,"RT @InvestorChaupal: Nifty50 overview for today:

-Gainers(14), Losers(36)
-Auto stocks gained most today
-BPCL, NTCP, TataSteel, Ultratech…",en,0,0,2021-11-16 15:43:48+00:00,0.5,0.5,Positive
5,#BAJAJ_AUTO - Support &amp; Resistance is here to stay as long as market is there - TradingView - https://t.co/P5ysNmD8fD,en,8,0,2021-11-16 15:40:03+00:00,0.4,-0.05,Negative
6,"Nifty50 overview for today:

-Gainers(14), Losers(36)
-Auto stocks gained most today
-BPCL, NTCP, TataSteel, Ultrat… https://t.co/11RuI0s29S",en,0,1,2021-11-16 15:18:12+00:00,0.5,0.5,Positive
8,"Trending stocks for tomorrow - 17/11/2021 

1. NIFTY
2. HDFCBANK
3. IRCTC
4. INFY
5. TCS
6. WIPRO
7. BAJAJ AUTO
8.… https://t.co/fsGzVdQvZ1",en,2,0,2021-11-16 14:35:26+00:00,0.0,0.0,Neutral
10,"Bajaj Pulsar NS1000 Makes For A Budget Litre Class Streetnaked
#new_cars
https://t.co/sx55DxFQn8",en,0,0,2021-11-16 12:58:56+00:00,0.0,0.0,Neutral
12,Just posted a photo @ Bajaj Auto Ltd Manufacturing Plant Chakan https://t.co/tuAieFRQMw,en,0,0,2021-11-16 12:30:40+00:00,0.0,0.0,Neutral
13,"Tweeting on behalf of my father in law, @Bajaj_Finserv we tried reaching you guys over Coustomer call excetive but… https://t.co/jAxB8F3iEm",en,0,0,2021-11-16 12:07:20+00:00,0.0,0.0,Neutral
14,"*Bajaj Auto Limited (104,205 Cr.)*
 Bajaj Auto ESOP Trust (Other) BOUGHT 5000 shares, value 18178475 through Market… https://t.co/ZXLfb4wpf3",en,0,0,2021-11-16 11:00:05+00:00,0.2589285714285714,-0.09821428571428571,Negative
15,"RT @mytradelogic: Closing Bell: Nifty ends below 18,000, Sensex falls over 400 pts; auto stocks outshine
Daily Updates on @mytradelogic
.
.…",en,0,0,2021-11-16 10:49:46+00:00,0.0,0.0,Neutral
16,"Today's hit nd misses on Telegram Channel 

Hits
Zee Ent
UPL
Adani Ent (short)
Syngene
Havells
Bajaj Auto (We are l… https://t.co/uVy9mnrEAF",en,4,0,2021-11-16 10:46:57+00:00,0.3,0.0,Neutral
17,"Closing Bell: Nifty ends below 18,000, Sensex falls over 400 pts; auto stocks outshine
Daily Updates on… https://t.co/snk5VT6XSR",en,0,1,2021-11-16 10:25:10+00:00,0.0,0.0,Neutral
18,"@adnyaat5 @AdityaD_Shah @VarrocGlobal Bajaj auto, hero motocorp, royal enfield, tvs, honda in india. Jaguar landrov… https://t.co/zzoqloymuP",en,0,0,2021-11-16 09:50:48+00:00,0.0,0.0,Neutral
19,"Buy 4 CURMON #BAJAJ-AUTO contracts at 3619, Sell 3 CURMON #HEROMOTOCO contracts at 2760.05. Confidence = 91%, on 2021-11-16::15:15:05",en,0,0,2021-11-16 09:45:35+00:00,0.0,0.0,Neutral
20,"Buy 4 CURMON #BAJAJ-AUTO contracts at 3626.2, Sell 3 CURMON #HEROMOTOCO contracts at 2760.1. Confidence = 89%, on 2021-11-16::14:49:05",en,0,0,2021-11-16 09:20:32+00:00,0.0,0.0,Neutral
21,"RT @ZoomStocks: #India: Indices@1425 hrs IST

‣#Nifty 18,022.85 🔻0.48% 
#Sensex 60,393.83 🔻0.54%
‣Winners: Auto, Financial svc, IT, Infra,…",en,0,0,2021-11-16 09:14:18+00:00,0.0,0.0,Neutral
22,"#India: Indices@1425 hrs IST

‣#Nifty 18,022.85 🔻0.48% 
#Sensex 60,393.83 🔻0.54%
‣Winners: Auto, Financial svc, IT,… https://t.co/Xk8BruzASi",en,0,1,2021-11-16 08:56:58+00:00,0.0,0.0,Neutral
23,"Buy 4 CURMON #BAJAJ-AUTO contracts at 3629.45, Sell 3 CURMON #HEROMOTOCO contracts at 2758.5. Confidence = 83%, on 2021-11-16::14:25:04",en,0,0,2021-11-16 08:55:30+00:00,0.0,0.0,Neutral
24,"Buy 4 CURMON #BAJAJ-AUTO contracts at 3647.9, Sell 3 CURMON #HEROMOTOCO contracts at 2772.4. Confidence = 82%, on 2021-11-16::13:59:04",en,0,0,2021-11-16 08:30:28+00:00,0.0,0.0,Neutral
28,"Buy 4 CURMON #BAJAJ-AUTO contracts at 3650.1, Sell 3 CURMON #HEROMOTOCO contracts at 2768.7. Confidence = 79%, on 2021-11-16::13:35:04",en,0,0,2021-11-16 08:05:24+00:00,0.0,0.0,Neutral
31,"@BajajAutoFin such a worst experience with bajaj auto finance, nobody want to hear or resolve the case, it doesn't… https://t.co/Xq4ln3r2Ig",en,0,0,2021-11-16 07:40:42+00:00,0.75,-0.5,Negative
32,"Buy 4 CURMON #BAJAJ-AUTO contracts at 3644.4, Sell 3 CURMON #HEROMOTOCO contracts at 2772.85. Confidence = 85%, on 2021-11-16::13:10:04",en,1,0,2021-11-16 07:40:22+00:00,0.0,0.0,Neutral
33,"Buy 4 CURMON #BAJAJ-AUTO contracts at 3636, Sell 3 CURMON #HEROMOTOCO contracts at 2767.5. Confidence = 88%, on 2021-11-16::12:45:04",en,0,0,2021-11-16 07:15:18+00:00,0.0,0.0,Neutral
34,"Hero MotoCorp Prepping For EV Launch Even as Bajaj Busy With Tasteless Jokes!
#new_cars
https://t.co/CB9tnOnf12",en,0,0,2021-11-16 06:58:46+00:00,0.6,-0.325,Negative
35,"Buy 4 CURMON #BAJAJ-AUTO contracts at 3623.85, Sell 3 CURMON #HEROMOTOCO contracts at 2755.6. Confidence = 88%, on 2021-11-16::12:20:04",en,0,0,2021-11-16 06:50:17+00:00,0.0,0.0,Neutral
36,"Buy 4 CURMON #BAJAJ-AUTO contracts at 3632.1, Sell 3 CURMON #HEROMOTOCO contracts at 2752.4. Confidence = 78%, on 2021-11-16::11:55:04",en,0,0,2021-11-16 06:25:13+00:00,0.0,0.0,Neutral
37,"@BajajAutoFin Fraudulent activity took place 

As reported earlier see screenshot bajaj bahanchod me 899 rs auto de… https://t.co/WAPMrN4tR0",en,0,0,2021-11-16 06:08:05+00:00,0.5,0.0,Neutral
38,stay away from bajaj auto for sometimes. looking weak if at all want to buy than buy calls.,en,0,0,2021-11-16 06:06:41+00:00,0.625,-0.375,Negative
39,"Buy 4 CURMON #BAJAJ-AUTO contracts at 3615.85, Sell 3 CURMON #HEROMOTOCO contracts at 2748.3. Confidence = 86%, on 2021-11-16::11:30:04",en,0,1,2021-11-16 06:00:11+00:00,0.0,0.0,Neutral
40,@_soniashenoy But Moneycontrol carried a very damaging article yesterday on how this chip shortage would adversely… https://t.co/n3zUzGNvJl,en,0,0,2021-11-16 05:57:17+00:00,0.3,0.2,Positive
41,"Buy 4 CURMON #BAJAJ-AUTO contracts at 3614.75, Sell 3 CURMON #HEROMOTOCO contracts at 2733.85. Confidence = 77%, on 2021-11-16::11:05:04",en,0,1,2021-11-16 05:35:09+00:00,0.0,0.0,Neutral
43,"While new incumbents like Ola, Ather, Bounce, PureEv have accelerated the adoption in tier 1 cities but launch of… https://t.co/bh2TvoeTox",en,2,0,2021-11-16 05:13:26+00:00,0.45454545454545453,0.13636363636363635,Positive
44,"Buy 4 CURMON #BAJAJ-AUTO contracts at 3614.65, Sell 3 CURMON #HEROMOTOCO contracts at 2732.9. Confidence = 77%, on 2021-11-16::10:40:04",en,0,0,2021-11-16 05:10:08+00:00,0.0,0.0,Neutral
46,"RT @NiftyAnalytics: Buy 9 CURMON #BAJAJ-AUTO contracts at 3634.5, Sell 7 CURMON #HEROMOTOCO contracts at 2734.05. Confidence = 69%, on 2021…",en,0,0,2021-11-16 04:48:41+00:00,0.0,0.0,Neutral
47,"Buy 9 CURMON #BAJAJ-AUTO contracts at 3634.5, Sell 7 CURMON #HEROMOTOCO contracts at 2734.05. Confidence = 69%, on 2021-11-16::10:15:04",en,0,1,2021-11-16 04:45:05+00:00,0.0,0.0,Neutral
48,"Buy 9 CURMON #BAJAJ-AUTO contracts at 3619.9, Sell 7 CURMON #HEROMOTOCO contracts at 2729.25. Confidence = 73%, on 2021-11-16::09:49:04",en,0,0,2021-11-16 04:20:04+00:00,0.0,0.0,Neutral
49,"Buy 9 CURMON #BAJAJ-AUTO contracts at 3602, Sell 7 CURMON #HEROMOTOCO contracts at 2706. Confidence = 71%, on 2021-11-16::09:22:04",en,0,0,2021-11-16 03:55:02+00:00,0.0,0.0,Neutral
50,"RT @CNBCTV18Live: #MarketThisWeek

IndusInd, Divi’s, SBI, Maruti, Bajaj Auto, Tata Steel, HDFC Bank top Nifty losers

Firstsource, BHEL, Su…",en,0,0,2021-11-15 16:54:58+00:00,0.35,0.15,Positive
51,"RT @mukeshmarda: Better cost control, focus on exports may limit the downside for Hero Moto’s stock
"" The only two Wheeler manufacturer who…",en,0,0,2021-11-15 16:49:05+00:00,0.75,0.25,Positive
52,"Better cost control, focus on exports may limit the downside for Hero Moto’s stock
"" The only two Wheeler manufactu… https://t.co/fAQPympcsR",en,3,1,2021-11-15 16:43:35+00:00,0.75,0.25,Positive
53,"@VEERBRAHMAN4 Hi, we understand that your query is related to Bajaj Auto, looping in @bajaj_ltd for further assistance. Regards, Team BFL",en,0,0,2021-11-15 16:16:50+00:00,0.45,0.0,Neutral
54,"RT @stockworld22: #tatasteel forming a same setup as bajaj auto next candle imp.
CMP 1245

IF next candle supports our trade then our targe…",en,0,0,2021-11-15 15:43:48+00:00,0.041666666666666664,0.0,Neutral
55,"#tatasteel forming a same setup as bajaj auto next candle imp.
CMP 1245

IF next candle supports our trade then our… https://t.co/7aUNSz1N1z",en,3,1,2021-11-15 15:18:24+00:00,0.041666666666666664,0.0,Neutral
57,"@Prakashplutus

Sir, please provide your views on Bajaj Auto &amp; Pfizer. Both are relatively available at discounts.… https://t.co/5OtNlXbNmh",en,1,0,2021-11-15 14:51:24+00:00,0.4,0.4,Positive
58,"RT @arpiit: 1/ Electric is forcing not just a new tech shift but a fundamental change in the way auto sector works. Among other things, I t…",en,0,0,2021-11-15 14:45:14+00:00,0.4147727272727273,0.005681818181818177,Positive
59,1/ Electric is forcing not just a new tech shift but a fundamental change in the way auto sector works. Among other… https://t.co/N88E3zRpnq,en,4,1,2021-11-15 13:14:35+00:00,0.45454545454545453,0.13636363636363635,Positive
60,"*Bajaj Auto Limited (105,186 Cr.)*
 Dharmesh K Banerjee (-) BOUGHT 588 shares, value 1730278 through ESOP on 12-Nov… https://t.co/hRuKKLVEHV",en,0,0,2021-11-15 12:00:11+00:00,0.14285714285714285,-0.07142857142857142,Negative
61,RT @autocarpro: Rakesh Sharma: 'Boosting customer sentiment is the key'. Bajaj Auto’s Executive Director believes that it is important at t…,en,0,0,2021-11-15 11:32:31+00:00,1.0,0.2,Positive
62,Rakesh Sharma: 'Boosting customer sentiment is the key'. Bajaj Auto’s Executive Director believes that it is import… https://t.co/QRPpkF4xkP,en,3,1,2021-11-15 11:06:12+00:00,1.0,0.0,Neutral
65,"Buy 9 CURMON #BAJAJ-AUTO contracts at 3614.15, Sell 7 CURMON #HEROMOTOCO contracts at 2700.45. Confidence = 72%, on 2021-11-15::15:15:04",en,1,0,2021-11-15 09:45:38+00:00,0.0,0.0,Neutral
66,"Great start of stock market, declining trend in PowerGrid and Bajaj Auto - S. Ranganathan @theindiaprint… https://t.co/DehzSuetGV",en,0,0,2021-11-15 09:42:56+00:00,0.75,0.8,Positive
67,"Buy 9 CURMON #BAJAJ-AUTO contracts at 3610.2, Sell 7 CURMON #HEROMOTOCO contracts at 2706.35. Confidence = 82%, on 2021-11-15::14:50:04",en,0,0,2021-11-15 09:20:36+00:00,0.0,0.0,Neutral
68,RT @moneycontrolcom: The #SemiconductorShortage will likely lead to a fall in #BajajAuto’s exports as the #auto industry continues to grapp…,en,0,0,2021-11-15 09:17:14+00:00,1.0,0.0,Neutral
70,"Buy 9 CURMON #BAJAJ-AUTO contracts at 3608.4, Sell 7 CURMON #HEROMOTOCO contracts at 2710.45. Confidence = 86%, on 2021-11-15::14:25:04",en,0,0,2021-11-15 08:55:33+00:00,0.0,0.0,Neutral
71,Chip shortage to hit Bajaj Auto’s export volumes. The stock is best avoided by investors with short term positions.,en,1,0,2021-11-15 08:43:29+00:00,0.3,0.5,Positive
72,The #SemiconductorShortage will likely lead to a fall in #BajajAuto’s exports as the #auto industry continues to gr… https://t.co/4IMsd7S9VQ,en,6,1,2021-11-15 08:39:38+00:00,1.0,0.0,Neutral
73,"Buy 9 CURMON #BAJAJ-AUTO contracts at 3600.45, Sell 7 CURMON #HEROMOTOCO contracts at 2700.6. Confidence = 83%, on 2021-11-15::14:00:04",en,0,0,2021-11-15 08:30:30+00:00,0.0,0.0,Neutral
74,@jbhanushali9 Thanks sir any other stock in bullish trands which covers loss against Bajaj Auto please give your suggestions (stock),en,0,0,2021-11-15 08:13:49+00:00,0.2875,0.037500000000000006,Positive
76,Check out the 5 Things We Like 👍  and 3 We Don't 👎 about the Bajaj Pulsar F250 &amp; N250 - https://t.co/m6qJWwATtp… https://t.co/WfYTo8OcX1,en,0,0,2021-11-15 08:10:00+00:00,0.0,0.0,Neutral
77,"Buy 9 CURMON #BAJAJ-AUTO contracts at 3599.55, Sell 7 CURMON #HEROMOTOCO contracts at 2702. Confidence = 86%, on 2021-11-15::13:35:04",en,0,0,2021-11-15 08:05:27+00:00,0.0,0.0,Neutral
78,"Buy 4 CURMON #BAJAJ-AUTO contracts at 3597.75, Sell 3 CURMON #HEROMOTOCO contracts at 2705.25. Confidence = 88%, on 2021-11-15::13:10:04",en,0,0,2021-11-15 07:40:24+00:00,0.0,0.0,Neutral
79,RT @TheGhostRider31: 316/365-The #Bajaj #Legend was not just the 1st 4-stroke scooter from Bajaj Auto but 1st one in India. First produced…,en,0,0,2021-11-15 07:40:07+00:00,0.3333333333333333,0.25,Positive
80,316/365-The #Bajaj #Legend was not just the 1st 4-stroke scooter from Bajaj Auto but 1st one in India. First produc… https://t.co/oa9mF4XAbV,en,6,1,2021-11-15 07:38:52+00:00,0.3333333333333333,0.25,Positive
81,"@Financialguru00  Bajaj Auto is falling 🤐, what's the expected Premium for a lot if it doesn't go UP for call option",en,2,0,2021-11-15 07:37:44+00:00,0.4,-0.1,Negative
82,"RT @ZoomStocks: #India: Indices@1258 hrs IST

‣#Nifty 18,119.25 ▲0.09% 
#Sensex 60,749.00 ▲0.10%
‣Winners:Power, Chemical, FMCG, IT, Pharma…",en,0,0,2021-11-15 07:33:42+00:00,0.0,0.0,Neutral
83,"#MarketTitbits
#Sensex and #Nifty50 snapped 3-day losing streak and settled near the day’s high levels on Friday, N… https://t.co/rUC8mk9LwJ",en,3,0,2021-11-15 07:33:16+00:00,0.47,0.13,Positive
84,These great Indian guys were showing Electric vehicle for more than 20 years in Auto expo.Nut not raised bar for pr… https://t.co/wJtvSHM07t,en,0,0,2021-11-15 07:33:06+00:00,0.625,0.65,Positive
85,"#India: Indices@1258 hrs IST

‣#Nifty 18,119.25 ▲0.09% 
#Sensex 60,749.00 ▲0.10%
‣Winners:Power, Chemical, FMCG, IT… https://t.co/W7TsUw6Zxs",en,2,1,2021-11-15 07:31:21+00:00,0.0,0.0,Neutral
