,tweet,language,likes,retweets,datetime,Subjectivity,Polarity,Analysis
0,"RT @insightfactor: 🔴Unisa Students Cruise Through CAs🔴

UNISA has scored a major 13% improvement in ITC Exam (CAs) results. The South Afric…",en,0,0,2021-11-16 20:33:50+00:00,0.5,0.0625,Positive
1,RT @LenkaBula: GREAT NEWS🥂💻🥰😜 College of Accounting Sciences @Unisa has registered 13% improvements in ITC Exams (CAs) results🙏From 39% to…,en,0,0,2021-11-16 20:31:24+00:00,0.75,0.8,Positive
2,"RT @insightfactor: 🔴Unisa Students Cruise Through CAs🔴

UNISA has scored a major 13% improvement in ITC Exam (CAs) results. The South Afric…",en,0,0,2021-11-16 20:31:18+00:00,0.5,0.0625,Positive
3,@Mookie_itc What i do? 😭😭,en,0,0,2021-11-16 20:31:07+00:00,0.0,0.0,Neutral
4,"RT @insightfactor: 🔴Unisa Students Cruise Through CAs🔴

UNISA has scored a major 13% improvement in ITC Exam (CAs) results. The South Afric…",en,0,0,2021-11-16 20:29:58+00:00,0.5,0.0625,Positive
5,"RT @insightfactor: 🔴Unisa Students Cruise Through CAs🔴

UNISA has scored a major 13% improvement in ITC Exam (CAs) results. The South Afric…",en,0,0,2021-11-16 20:29:35+00:00,0.5,0.0625,Positive
6,"RT @S_Sivakumar: The second Mementos also goes to Rajasthan. This one is in Jaipur. 
#ITCHotels 

https://t.co/haqDo72XIm",en,0,0,2021-11-16 20:28:41+00:00,0.0,0.0,Neutral
7,"RT @S_Sivakumar: Mementos by ITC - the latest brand in the ITC Hotels’ bouquet, has signed up its first property Ekaaya in Udaipur
https://…",en,0,0,2021-11-16 20:28:35+00:00,0.6166666666666667,0.375,Positive
8,RT @TheJawsomesauce: $HCMC sorta news. $PM got the 1st RJR patent invalidated (this one is for a charging case) of the 6 patents in RJR's c…,en,0,0,2021-11-16 20:27:44+00:00,0.0,0.0,Neutral
9,"RT @insightfactor: 🔴Unisa Students Cruise Through CAs🔴

UNISA has scored a major 13% improvement in ITC Exam (CAs) results. The South Afric…",en,0,0,2021-11-16 20:27:20+00:00,0.5,0.0625,Positive
10,"RT @insightfactor: 🔴Unisa Students Cruise Through CAs🔴

UNISA has scored a major 13% improvement in ITC Exam (CAs) results. The South Afric…",en,0,0,2021-11-16 20:26:36+00:00,0.5,0.0625,Positive
11,"RT @insightfactor: 🔴Unisa Students Cruise Through CAs🔴

UNISA has scored a major 13% improvement in ITC Exam (CAs) results. The South Afric…",en,0,0,2021-11-16 20:25:36+00:00,0.5,0.0625,Positive
12,RT @TheJawsomesauce: $HCMC sorta news. $PM got the 1st RJR patent invalidated (this one is for a charging case) of the 6 patents in RJR's c…,en,0,0,2021-11-16 20:24:21+00:00,0.0,0.0,Neutral
13,"RT @insightfactor: 🔴Unisa Students Cruise Through CAs🔴

UNISA has scored a major 13% improvement in ITC Exam (CAs) results. The South Afric…",en,0,0,2021-11-16 20:24:16+00:00,0.5,0.0625,Positive
14,"RT @OptionInfinity: #ITC 
#Marked_all_the_Zones
#Multiple_Trade_opportunities

#DemandSupply
#PriceAction
#Nifty
#BankNifty

^TG Primary Gr…",en,0,0,2021-11-16 20:22:04+00:00,0.5,0.4,Positive
15,"RT @robdavidellis: PLS RT! 
🚨 QUICK TURNAROUND THEATRE JOB 🚨
Looking for a Stage Manager to run a show for a week at @Iristheatre in Covent…",en,0,0,2021-11-16 20:21:25+00:00,0.5,0.3333333333333333,Positive
17,"RT @insightfactor: 🔴Unisa Students Cruise Through CAs🔴

UNISA has scored a major 13% improvement in ITC Exam (CAs) results. The South Afric…",en,0,0,2021-11-16 20:19:41+00:00,0.5,0.0625,Positive
19,"RT @DAmmannaya: ITC - Making the right moves!

B Natural is now part of McD Happy meal!

#ITC 
#investing 

https://t.co/kvS2ZsLlRu https:/…",en,0,0,2021-11-16 20:19:17+00:00,0.6452380952380953,0.4857142857142857,Positive
20,RT @LenkaBula: GREAT NEWS🥂💻🥰😜 College of Accounting Sciences @Unisa has registered 13% improvements in ITC Exams (CAs) results🙏From 39% to…,en,0,0,2021-11-16 20:19:02+00:00,0.75,0.8,Positive
