,tweet,language,likes,retweets,datetime,Subjectivity,Polarity,Analysis
0,@Bajaj_Finserv my account is blocked fter creating please check Asap,en,0,0,2021-11-16 20:16:41+00:00,0.0,0.0,Neutral
1,"I am shocked and surprised about the additional charges, late fee penalty, and the legal notice without any communi… https://t.co/7q4PcIU3nX",en,1,0,2021-11-16 19:15:29+00:00,0.6250000000000001,-0.175,Negative
2,RT @sirsha_mukherji: It's a matter of serious concern that most top rated Fraud Money Lending Company @Bajaj_Finserv  is started already ha…,en,0,0,2021-11-16 18:59:34+00:00,0.5555555555555555,0.22222222222222224,Positive
3,RT @techindo21: @sirsha_mukherji @Bajaj_Finserv @indSupremeCourt @RBI @DasShaktikanta @FinMinIndia @nsitharaman It seems all the laws and r…,en,0,0,2021-11-16 18:37:51+00:00,0.0,0.0,Neutral
4,@rblbank hi RBL I pay my rent throw RBL BAJAJ FINSERV CREDIT CARD but when I set EMI then not processing why? And m… https://t.co/JRm9DmDVj5,en,0,0,2021-11-16 18:33:33+00:00,0.0,0.0,Neutral
6,@khiladikumar71 @Bajaj_Finance @Bajaj_Finserv @aajtak @instagram Hows dat possibl.. mjhe to mera refund 3 din me hi… https://t.co/NriMbbtRyx,en,0,0,2021-11-16 18:07:08+00:00,0.0,0.0,Neutral
7,@Milesh37 @RBLBankCares @rblbank @Bajaj_Finserv @Bajaj_Finance hav u tried getting in touch wid dem here… https://t.co/EjYbh6A5cn,en,0,0,2021-11-16 18:04:05+00:00,0.0,0.0,Neutral
8,@Gurjeet27985162 @Bajaj_Finserv @Bajaj_Finance @sanjivrbajaj Hey u can always choose 2 unsubscribe.. here https://t.co/HwhTlRpGVp,en,0,0,2021-11-16 18:00:40+00:00,0.0,0.0,Neutral
9,@SMPANDE26966189 @Bajaj_Finserv i think u shud get in touch wid da cmpany here https://t.co/xf2LIKTrTJ to sort dis out,en,0,0,2021-11-16 17:59:15+00:00,0.0,0.0,Neutral
10,@GirishN42459847 @TRAI @Bajaj_Finserv @airtelindia u shud also try unsubscribeing.. ho jaega.. here u go https://t.co/ZaGKt0cmkj,en,0,0,2021-11-16 17:57:33+00:00,0.0,0.0,Neutral
11,@MitraTamal @Bajaj_Finserv @bajajsanjiv u can alwys get in touch wid dem https://t.co/NvreJEaFFM ..dey wil assis u,en,0,0,2021-11-16 17:54:36+00:00,0.0,0.0,Neutral
12,@Ae_manya @Bajaj_Finance @Bajaj_Finserv @RBI @RBIsays @jagograhakjago u shud check wid da cmpany here… https://t.co/DtbPwWXhT5,en,0,0,2021-11-16 17:52:00+00:00,0.0,0.0,Neutral
13,"@Bajaj_Finance

I'm getting spam SMS from Bajaj Finserv, on my Number 

Even though I never applied or registered o… https://t.co/smEDwHnJYr",en,0,0,2021-11-16 17:51:22+00:00,0.0,0.0,Neutral
14,"@Bajaj_Finserv Team. 
I have been cheated bajaj as today I have taken PL the guy was told the interest rates 12.25%… https://t.co/d5GDsf4o28",en,0,0,2021-11-16 17:49:36+00:00,0.0,0.0,Neutral
15,"@Bajaj_Finserv Team. 
I have been cheated bajaj as today I have taken PL the guy was told the interest rates 12.25%… https://t.co/sFWdbvlaaa",en,0,0,2021-11-16 17:49:23+00:00,0.0,0.0,Neutral
16,"@Bajaj_Finserv Team. 
I have been cheated bajaj as today I have taken PL the guy was told the interest rates 12.25%… https://t.co/Ti8IVSzvkN",en,0,0,2021-11-16 17:49:08+00:00,0.0,0.0,Neutral
17,"@Bajaj_Finserv Team. 
I have been cheated bajaj as today I have taken PL the guy was told the interest rates 12.25%… https://t.co/kp2CkZt3Lr",en,0,0,2021-11-16 17:48:43+00:00,0.0,0.0,Neutral
18,@Bajaj_Finserv @sanjivrbajaj really pathetic customer service…. No response for over 2 weeks … tried escalating at all levels …,en,0,0,2021-11-16 17:46:18+00:00,1.0,-1.0,Negative
19,RT @sirsha_mukherji: It's a matter of serious concern that most top rated Fraud Money Lending Company @Bajaj_Finserv  is started already ha…,en,0,0,2021-11-16 17:44:21+00:00,0.5555555555555555,0.22222222222222224,Positive
20,RT @SauravC91391879: @Bajaj_Finserv please unblock my emi card i have clear my emi amount,en,0,0,2021-11-16 17:38:27+00:00,0.3833333333333333,0.10000000000000002,Positive
21,@Bajaj_Finserv please unblock my emi card i have clear my emi amount,en,0,1,2021-11-16 17:38:13+00:00,0.3833333333333333,0.10000000000000002,Positive
22,"@Bajaj_Finserv 
I am really deprived with bajaj on today. 
Call centre guy was told the interest rates will be 12.2… https://t.co/hoQoYS7DuC",en,0,0,2021-11-16 17:37:59+00:00,0.2,0.2,Positive
24,RT @bhupindar_singh: @RBI @DasShaktikanta @nsitharaman @rashtrapatibhvn @PMOIndia @AmitShah @Bajaj_Finserv @Bajaj_Finance @bajajsanjiv what…,en,0,0,2021-11-16 17:33:25+00:00,0.0,0.0,Neutral
25,RT @BabluSi28458148: World's most notorious &amp; deadly man hunting recovery Mafia system is of Don @sanjivrbajaj's @Bajaj_Finserv. Look at th…,en,0,0,2021-11-16 17:32:41+00:00,0.45,0.15,Positive
26,Today I proudly announced that I am a loyal Soldier of @MamataOfficial ! I Loudly say @abhishekaitc &amp; @AITCofficial… https://t.co/0mnu9wEAWE,en,1,0,2021-11-16 17:21:18+00:00,0.8777777777777779,0.43888888888888894,Positive
