,tweet,language,likes,retweets,datetime,Subjectivity,Polarity,Analysis
0,"RT @GameFi_Official: 🚀Here is the information of @Titan_Hunters $TITA IGO you're waiting for 

🔅IGO schedule
🔅Pool details
🔅Tokenomics
🔅Whi…",en,0,0,2021-11-16 20:36:37+00:00,0.0,0.0,Neutral
1,"RT @GameFi_Official: 🚀Here is the information of @Titan_Hunters $TITA IGO you're waiting for 

🔅IGO schedule
🔅Pool details
🔅Tokenomics
🔅Whi…",en,0,0,2021-11-16 20:36:34+00:00,0.0,0.0,Neutral
2,"RT @cookielable: @EpicHeroio Earned almost $500 during last weekend and yeah i chose Titan. My investment is around $5,000 @gauklermichi @T…",en,0,0,2021-11-16 20:36:33+00:00,0.06666666666666667,0.0,Neutral
3,"RT @GameFi_Official: 🚀Here is the information of @Titan_Hunters $TITA IGO you're waiting for 

🔅IGO schedule
🔅Pool details
🔅Tokenomics
🔅Whi…",en,0,0,2021-11-16 20:36:29+00:00,0.0,0.0,Neutral
4,"RT @GameFi_Official: 🚀Here is the information of @Titan_Hunters $TITA IGO you're waiting for 

🔅IGO schedule
🔅Pool details
🔅Tokenomics
🔅Whi…",en,0,0,2021-11-16 20:36:27+00:00,0.0,0.0,Neutral
5,RT @AoTshots: 54 Days until Attack on Titan is back https://t.co/A3X8Fo7uoK,en,0,0,2021-11-16 20:36:24+00:00,0.0,0.0,Neutral
6,RT @AoTJewels: Anime: Attack on Titan https://t.co/E9IntEK6WL,en,0,0,2021-11-16 20:36:23+00:00,0.0,0.0,Neutral
8,"RT @GameFi_Official: 🚀Here is the information of @Titan_Hunters $TITA IGO you're waiting for 

🔅IGO schedule
🔅Pool details
🔅Tokenomics
🔅Whi…",en,0,0,2021-11-16 20:36:20+00:00,0.0,0.0,Neutral
9,RT @AoTJewels: Anime: Attack on Titan https://t.co/E9IntEK6WL,en,0,0,2021-11-16 20:36:19+00:00,0.0,0.0,Neutral
10,"RT @GameFi_Official: 🚀Here is the information of @Titan_Hunters $TITA IGO you're waiting for 

🔅IGO schedule
🔅Pool details
🔅Tokenomics
🔅Whi…",en,0,0,2021-11-16 20:36:18+00:00,0.0,0.0,Neutral
11,"RT @GameFi_Official: 🚀Here is the information of @Titan_Hunters $TITA IGO you're waiting for 

🔅IGO schedule
🔅Pool details
🔅Tokenomics
🔅Whi…",en,0,0,2021-11-16 20:36:15+00:00,0.0,0.0,Neutral
12,Oh no! Attack on Titan copied Attack on Titan!!! https://t.co/RuHZMz5pNr,en,1,0,2021-11-16 20:36:15+00:00,0.0,0.0,Neutral
13,"RT @GameFi_Official: 🚀Here is the information of @Titan_Hunters $TITA IGO you're waiting for 

🔅IGO schedule
🔅Pool details
🔅Tokenomics
🔅Whi…",en,0,0,2021-11-16 20:36:12+00:00,0.0,0.0,Neutral
14,"RT @GameFi_Official: 🚀Here is the information of @Titan_Hunters $TITA IGO you're waiting for 

🔅IGO schedule
🔅Pool details
🔅Tokenomics
🔅Whi…",en,0,0,2021-11-16 20:36:12+00:00,0.0,0.0,Neutral
