,tweet,language,likes,retweets,datetime,Subjectivity,Polarity,Analysis
4,45’ @setchey4 drills the ball low and it deflects off the wall and past Thomas Middlehurst to nestle into the bottom of the net. #htvbt 0-1,en,4,0,2021-11-16 20:31:58+00:00,0.18333333333333335,-0.08333333333333333,Negative
6,@StokerB4 @Nestle Maybe that's because they sell water..,en,0,0,2021-11-16 20:30:22+00:00,0.0,0.0,Neutral
7,Are you looking for a job or a new career? Join Nestle Purina on campus in Building N for a job fair tomorrow! Regi… https://t.co/AxB241PADF,en,0,0,2021-11-16 20:29:58+00:00,0.6772727272727272,0.5056818181818181,Positive
9,RT @conspiracyb0t: In the 1970s Nestle killed hundreds of thousands of children in developing countries by promoting infant formula over br…,en,0,0,2021-11-16 20:28:48+00:00,0.0,-0.2,Negative
11,"@jaegersfreedom ""I hung around with you too much, Jaeger. You corrupted me. I was a sweet, quiet, innocent girl bef… https://t.co/zOYNd2CErL",en,0,0,2021-11-16 20:28:44+00:00,0.4708333333333333,0.2625,Positive
13,Must read! @RandiRhodes on fire today reposting this  WSJ article about inflation! Big companies like Procter &amp; Gam… https://t.co/48hs0r3jC1,en,0,0,2021-11-16 20:27:45+00:00,0.1,0.0,Neutral
14,@NesteGlobal Your name is too close to Nestlé for comfort.  Consider changing it for that sole reason.,en,0,0,2021-11-16 20:27:35+00:00,0.25,0.0,Neutral
21,"@OthrVirginiaGuy @Literroy LOL Ok bub. China is ""totalitarian' as SCOTUS ruled that Nestle can have child slaves in Africa. 🤣",en,2,0,2021-11-16 20:26:21+00:00,0.6,0.65,Positive
27,"@LakotaMan1 Something the Nestle corporation. Seems determined to destroy. 
I’ll have to go back down a rabbit hole… https://t.co/2YQFBliVBc",en,0,0,2021-11-16 20:22:54+00:00,0.09629629629629631,-0.11851851851851854,Negative
34,@Weaselpher @RobertFifoot @Rachael_Swindon @LickPeachesGC The joy of mobile phones … the nestle in your hand. 🤯,en,1,0,2021-11-16 20:19:00+00:00,0.2,0.8,Positive
40,@captmaryjaneway @jamesdurham309 @GaryMillrat @sebusher Mostly the way corporations have changed the way we see it… https://t.co/FUUMsCvt9q,en,0,0,2021-11-16 20:16:12+00:00,0.5,0.5,Positive
46,"RT @ninanotman: With input from @Dr_LarsBode, @Townsend_Lab, @glycoworld, @biomilq, @TurtleTree_, @Chr_Hansen, @Nestle, @BASF and others 
h…",en,0,0,2021-11-16 20:13:48+00:00,0.0,0.0,Neutral
53,RT @conspiracyb0t: In the 1970s Nestle killed hundreds of thousands of children in developing countries by promoting infant formula over br…,en,0,0,2021-11-16 20:11:21+00:00,0.0,-0.2,Negative
58,"RT @ClareNash20: Invited to a #sustainability conference on greening the supply chain, speakers include Shell, McDonalds, and Nestle. https…",en,0,0,2021-11-16 20:09:30+00:00,0.0,0.0,Neutral
61,"RT @ClareNash20: Invited to a #sustainability conference on greening the supply chain, speakers include Shell, McDonalds, and Nestle. https…",en,0,0,2021-11-16 20:08:11+00:00,0.0,0.0,Neutral
77,Picking a bottle of Nestle water over a Bottle of Sprite is the greatest challenge of my life rn..,en,0,0,2021-11-16 20:02:56+00:00,1.0,1.0,Positive
87,"RT @marquisele: Girl, fuck you. And Dariush Mozaffarian and William Dietz and Jason Block and Marion Nestle and Robert Lustig, who contribu…",en,0,0,2021-11-16 20:00:12+00:00,0.6,-0.4,Negative
89,"@CllrIanSherwood @Nestle Nice never to early for After eights. Though not had them in a while well about a year.
Enjoy",en,0,0,2021-11-16 20:00:07+00:00,0.6,0.3666666666666667,Positive
90,"RT @CanadiansOrg: Blue Triton, the corporation that bought Nestle’s North American bottled water business earlier this year, will take a to…",en,0,0,2021-11-16 20:00:06+00:00,0.19999999999999998,0.0,Neutral
92,The DARK WORLD ChroniclesXXX: Nestlé: The Most Evil Business in the World https://t.co/lAK1RCV5zO,en,0,0,2021-11-16 19:58:56+00:00,0.6333333333333333,-0.21666666666666667,Negative
96,"RT @CanadiansOrg: Blue Triton, the corporation that bought Nestle’s North American bottled water business earlier this year, will take a to…",en,0,0,2021-11-16 19:57:38+00:00,0.19999999999999998,0.0,Neutral
97,"Blue Triton, the corporation that bought Nestle’s North American bottled water business earlier this year, will tak… https://t.co/Q4942iQaoe",en,3,2,2021-11-16 19:57:16+00:00,0.19999999999999998,0.0,Neutral
